"HOUSING_MODEL$coefficients" "NAME"
"CITYSt-Cyprien-De-Napierville" 104731.601603245 "CITYSt-Cyprien-De-Napierville"
"CITYSt-Cyrille-De-Lessard" -81790.8816880557 "CITYSt-Cyrille-De-Lessard"
"CITYSt-Cyrille-De-Wendover" -57517.7468458253 "CITYSt-Cyrille-De-Wendover"
"CITYSt-Damase" -6347.82294990136 "CITYSt-Damase"
"CITYSt-Damase-De-L'Islet" -77051.6884881786 "CITYSt-Damase-De-L'Islet"
"CITYSt-Damien" -56199.363236352 "CITYSt-Damien"
"CITYSt-Damien-De-Buckland" -146284.233717508 "CITYSt-Damien-De-Buckland"
"CITYSt-David" -82130.9729510625 "CITYSt-David"
"CITYSt-David-D'Yamaska" -46107.8134279041 "CITYSt-David-D'Yamaska"
"CITYSt-David-de-Falardeau" -88022.2646739065 "CITYSt-David-de-Falardeau"
"CITYSt-Denis-De-Brompton" 40044.6332682103 "CITYSt-Denis-De-Brompton"
"CITYSt-Denis-De-La-Bouteillerie" 3354.47239232325 "CITYSt-Denis-De-La-Bouteillerie"
"CITYSt-Denis-sur-Mer" 17743.344141562 "CITYSt-Denis-sur-Mer"
"CITYSt-Denis-sur-Richelieu" 59189.78577541 "CITYSt-Denis-sur-Richelieu"
"CITYSt-Didace" -54955.0123745852 "CITYSt-Didace"
"CITYSt-Dominique" -39034.4504317756 "CITYSt-Dominique"
"CITYSt-Donat" 6718.91058938301 "CITYSt-Donat"
"CITYSt-Donat-De-Rimouski" -102152.703433102 "CITYSt-Donat-De-Rimouski"
"CITYSt-Edmond-De-Grantham" -46568.7262798243 "CITYSt-Edmond-De-Grantham"
"CITYSt-Edmond-les-Plaines" -241841.711883928 "CITYSt-Edmond-les-Plaines"
"CITYSt-Edouard-De-Lotbiniere" -126658.460073385 "CITYSt-Edouard-De-Lotbiniere"
"CITYSt-Edouard-De-Maskinonge" -125847.322102907 "CITYSt-Edouard-De-Maskinonge"
"CITYSt-Edouard-De-Napierville" 45539.8557170278 "CITYSt-Edouard-De-Napierville"
"CITYSt-Elie-de-Caxton" -45090.6455024448 "CITYSt-Elie-de-Caxton"
"CITYSt-Eloi" -26799.8763319784 "CITYSt-Eloi"
"CITYSt-Elphege" -4482.80748708488 "CITYSt-Elphege"
"CITYSt-Elzéar-de-Beauce" -71883.9836740385 "CITYSt-Elzéar-de-Beauce"
"CITYSt-Elzéar-De-Bonaventure" -46564.0039672786 "CITYSt-Elzéar-De-Bonaventure"
"CITYSt-Elzéar-De-Temiscouata" -219841.077241693 "CITYSt-Elzéar-De-Temiscouata"
"CITYSt-Émile" 19062.633582969 "CITYSt-Émile"
"CITYSt-Émile-De-Suffolk" 6411.98218225192 "CITYSt-Émile-De-Suffolk"
"CITYSt-Ephrem-De-Beauce" -169775.906905954 "CITYSt-Ephrem-De-Beauce"
"CITYSt-Epiphane" -131454.591988464 "CITYSt-Epiphane"
"CITYSt-Esprit" -23600.7665564516 "CITYSt-Esprit"
"CITYSt-Étienne-De-Beauharnois" 51914.4108402638 "CITYSt-Étienne-De-Beauharnois"
"CITYSt-Étienne-De-Bolton" -2462.72850334266 "CITYSt-Étienne-De-Bolton"
"CITYSt-Étienne-De-Lauzon" -4589.22824748011 "CITYSt-Étienne-De-Lauzon"
"CITYSt-Étienne-Des-Gres" -73417.6243783095 "CITYSt-Étienne-Des-Gres"
"CITYSt-Eugène-d'Argentenay" -136535.749830837 "CITYSt-Eugène-d'Argentenay"
"CITYSt-Eugène-De-Grantham" -72919.1277118165 "CITYSt-Eugène-De-Grantham"
"CITYSt-Eugène-De-Ladriere" -125258.214625922 "CITYSt-Eugène-De-Ladriere"
"CITYSt-Eusebe" -120141.621448773 "CITYSt-Eusebe"
"CITYSt-Eustache" 41476.6720069932 "CITYSt-Eustache"
"CITYSt-Evariste-De-Forsyth" -146071.876997114 "CITYSt-Evariste-De-Forsyth"
"CITYSt-Fabien" -76651.4862393244 "CITYSt-Fabien"
"CITYSt-Fabien-De-Panet" -190328.536358886 "CITYSt-Fabien-De-Panet"
"CITYSt-Félicien" -97965.8881774676 "CITYSt-Félicien"
"CITYSt-Félix-D'Otis" -40259.0103623789 "CITYSt-Félix-D'Otis"
"CITYSt-Félix-De-Kingsey" -50742.468834128 "CITYSt-Félix-De-Kingsey"
"CITYSt-Félix-De-Valois" -58859.8264166016 "CITYSt-Félix-De-Valois"
"CITYSt-Ferdinand" -33521.9594484204 "CITYSt-Ferdinand"
"CITYSt-Ferréol-les-Neiges" -5250.09512902641 "CITYSt-Ferréol-les-Neiges"
"CITYSt-Flavien" -103448.213709637 "CITYSt-Flavien"
"CITYSt-Fortunat" -81530.5256409199 "CITYSt-Fortunat"
"CITYSt-François" 43286.6285875247 "CITYSt-François"
"CITYSt-François-D'Assise" -183783.791687496 "CITYSt-François-D'Assise"
"CITYSt-François-De-La-Rivière-Du-Sud" -67125.9205544484 "CITYSt-François-De-La-Rivière-Du-Sud"
"CITYSt-François-De-Sales" -193238.20852293 "CITYSt-François-De-Sales"
"CITYSt-François-Du-Lac" -122250.811802356 "CITYSt-François-Du-Lac"
"CITYSt-François-Xavier-De-Brompton" -36429.6427266003 "CITYSt-François-Xavier-De-Brompton"
"CITYSt-Frédéric" -67219.47746818 "CITYSt-Frédéric"
"CITYSt-Fulgence" -66181.1884851983 "CITYSt-Fulgence"
"CITYSt-Gabriel-De-Brandon" -70685.0930017749 "CITYSt-Gabriel-De-Brandon"
"CITYSt-Gabriel-De-Rimouski" -118647.950516561 "CITYSt-Gabriel-De-Rimouski"
"CITYSt-Gabriel-De-Valcartier" -4097.56289898322 "CITYSt-Gabriel-De-Valcartier"
"CITYSt-Gedeon-De-Beauce" -122760.142125141 "CITYSt-Gedeon-De-Beauce"
"CITYSt-Georges" -76836.0931229245 "CITYSt-Georges"
"CITYSt-Georges-De-Clarenceville" -87198.2377719267 "CITYSt-Georges-De-Clarenceville"
"CITYSt-Georges-De-Windsor" -47914.8456211963 "CITYSt-Georges-De-Windsor"
"CITYSt-Gerard-Majella" -172886.791866663 "CITYSt-Gerard-Majella"
"CITYSt-Germain-De-Grantham" -58410.5630217388 "CITYSt-Germain-De-Grantham"
"CITYSt-Gervais" -65343.3691887112 "CITYSt-Gervais"
"CITYSt-Gilbert" 9759.73241029216 "CITYSt-Gilbert"
"CITYSt-Gilles" -85295.3733158543 "CITYSt-Gilles"
"CITYSt-Godefroi" -43517.1155047256 "CITYSt-Godefroi"
"CITYSt-Guillaume" -14677.6621275512 "CITYSt-Guillaume"
"CITYSt-Guillaume-D'Upton" -103357.977905625 "CITYSt-Guillaume-D'Upton"
"CITYSt-Guy" -380411.418870584 "CITYSt-Guy"
"CITYSt-Henri-de-Lévis" -35095.3251988958 "CITYSt-Henri-de-Lévis"
"CITYSt-Henri-De-Taillon" -25492.971226217 "CITYSt-Henri-De-Taillon"
"CITYSt-Hermenegilde" -108826.607395876 "CITYSt-Hermenegilde"
"CITYSt-Hilarion" -116320.901253467 "CITYSt-Hilarion"
"CITYSt-Hippolyte" -2765.62784992071 "CITYSt-Hippolyte"
"CITYSt-Honore-De-Chicoutimi" -73794.0625656516 "CITYSt-Honore-De-Chicoutimi"
"CITYSt-Honoré-de-Shenley" -93077.4724130049 "CITYSt-Honoré-de-Shenley"
"CITYSt-Honore-De-Temiscouata" -117917.169562361 "CITYSt-Honore-De-Temiscouata"
"CITYSt-Hubert-De-Rivière-Du-Loup" -27345.1887249686 "CITYSt-Hubert-De-Rivière-Du-Loup"
"CITYSt-Hugues" -1793.19076528154 "CITYSt-Hugues"
"CITYSt-Hyacinthe" 20947.9717714642 "CITYSt-Hyacinthe"
"CITYSt-Hyacinthe (Douville)" 26919.1829086842 "CITYSt-Hyacinthe (Douville)"
"CITYSt-Hyacinthe (St-Thomas-D'Aquin)" 26349.94324909 "CITYSt-Hyacinthe (St-Thomas-D'Aquin)"
"CITYSt-Hyacinthe (Ste-Rosalie)" 3773.87072462131 "CITYSt-Hyacinthe (Ste-Rosalie)"
"CITYSt-Ignace-De-Loyola" -61796.3452721945 "CITYSt-Ignace-De-Loyola"
"CITYSt-Ignace-de-Stanbridge" -30256.7652460404 "CITYSt-Ignace-de-Stanbridge"
"CITYSt-Irenee" 73527.1781747086 "CITYSt-Irenee"
"CITYSt-Isidore" -75492.8538685667 "CITYSt-Isidore"
"CITYSt-Isidore-de-Clifton" -89202.3462085375 "CITYSt-Isidore-de-Clifton"
"CITYSt-Isidore-De-Laprairie" 14272.4731514859 "CITYSt-Isidore-De-Laprairie"
"CITYSt-Jacques" -41585.9972011149 "CITYSt-Jacques"
"CITYSt-Jacques-De-Leeds" -142378.671441458 "CITYSt-Jacques-De-Leeds"
"CITYSt-Jacques-Le-Majeur-De-Wolfestown" -39074.909247416 "CITYSt-Jacques-Le-Majeur-De-Wolfestown"
"CITYSt-Jacques-Le-Mineur" -8455.74973395004 "CITYSt-Jacques-Le-Mineur"
"CITYSt-Janvier-De-Joly" -96329.8019887031 "CITYSt-Janvier-De-Joly"
"CITYSt-Jean-Baptiste" 26459.0398702275 "CITYSt-Jean-Baptiste"
"CITYSt-Jean-Chrysostome" 4774.31819131044 "CITYSt-Jean-Chrysostome"
"CITYSt-Jean-De-Brebeuf" -185018.521745649 "CITYSt-Jean-De-Brebeuf"
"CITYSt-Jean-De-Dieu" -164279.077268975 "CITYSt-Jean-De-Dieu"
"CITYSt-Jean-De-La-Lande" -221415.974984854 "CITYSt-Jean-De-La-Lande"
"CITYSt-Jean-De-Matha" -43454.6880748653 "CITYSt-Jean-De-Matha"
"CITYSt-Jean-Port-Joli" -67537.2063841711 "CITYSt-Jean-Port-Joli"
"CITYSt-Jean-sur-Richelieu" 25490.6485848865 "CITYSt-Jean-sur-Richelieu"
"CITYSt-Jean-sur-Richelieu (Iberville)" 32454.3660251997 "CITYSt-Jean-sur-Richelieu (Iberville)"
"CITYSt-Jean-sur-Richelieu (L'Acadie)" 49878.7091643695 "CITYSt-Jean-sur-Richelieu (L'Acadie)"
"CITYSt-Jean-sur-Richelieu (St-Athanase)" 35242.2191452998 "CITYSt-Jean-sur-Richelieu (St-Athanase)"
"CITYSt-Jean-sur-Richelieu (St-Jean-sur-Richelieu)" 20976.9230653516 "CITYSt-Jean-sur-Richelieu (St-Jean-sur-Richelieu)"
"CITYSt-Jean-sur-Richelieu (St-Luc)" 43020.8717400976 "CITYSt-Jean-sur-Richelieu (St-Luc)"
"CITYSt-Jérôme" -2139.41027654604 "CITYSt-Jérôme"
"CITYSt-Jérôme (Bellefeuille)" 4258.96857514512 "CITYSt-Jérôme (Bellefeuille)"
"CITYSt-Jérôme (Lafontaine)" 4142.39190759324 "CITYSt-Jérôme (Lafontaine)"
"CITYSt-Jérôme (St-Antoine)" -6741.21763522414 "CITYSt-Jérôme (St-Antoine)"
"CITYSt-Jérôme (St-Jérôme)" 4036.55492785883 "CITYSt-Jérôme (St-Jérôme)"
"CITYSt-Joachim" -58014.5645672733 "CITYSt-Joachim"
"CITYSt-Joachim-De-Shefford" -30503.4844038894 "CITYSt-Joachim-De-Shefford"
"CITYSt-Jogues" -193745.594059923 "CITYSt-Jogues"
"CITYSt-Joseph-De-Beauce" -98457.1937265965 "CITYSt-Joseph-De-Beauce"
"CITYSt-Joseph-De-Coleraine" 42247.2362345836 "CITYSt-Joseph-De-Coleraine"
"CITYSt-Joseph-De-Ham-Sud" -99652.0656533694 "CITYSt-Joseph-De-Ham-Sud"
"CITYSt-Joseph-De-Kamouraska" -134297.097575611 "CITYSt-Joseph-De-Kamouraska"
"CITYSt-Joseph-De-La-Rive" -47485.7322649467 "CITYSt-Joseph-De-La-Rive"
"CITYSt-Joseph-De-Lepage" -44338.2914465654 "CITYSt-Joseph-De-Lepage"
"CITYSt-Joseph-de-Mékinac" 20556.1808080641 "CITYSt-Joseph-de-Mékinac"
"CITYSt-Joseph-De-Sorel" -90123.1203755526 "CITYSt-Joseph-De-Sorel"
"CITYSt-Joseph-Du-Lac" 58434.0308206563 "CITYSt-Joseph-Du-Lac"
"CITYSt-Jude" -56909.9800807601 "CITYSt-Jude"
"CITYSt-Jules-De-Beauce" -126517.517364818 "CITYSt-Jules-De-Beauce"
"CITYSt-Julien" -13465.7406627773 "CITYSt-Julien"
"CITYSt-Just-De-Bretenieres" -54724.6723538794 "CITYSt-Just-De-Bretenieres"
"CITYSt-Justin" -114279.059048927 "CITYSt-Justin"
"CITYSt-Lambert" 298984.929147037 "CITYSt-Lambert"
"CITYSt-Lambert-De-Lauzon" -20453.5818660362 "CITYSt-Lambert-De-Lauzon"
"CITYSt-Lazare" 88515.5850709457 "CITYSt-Lazare"
"CITYSt-Lazare-De-Bellechasse" -95467.0317577639 "CITYSt-Lazare-De-Bellechasse"
"CITYSt-Léandre" -236567.194806003 "CITYSt-Léandre"
"CITYSt-Léon-De-Standon" -81683.746008024 "CITYSt-Léon-De-Standon"
"CITYSt-Léon-Le-Grand" -119079.128327537 "CITYSt-Léon-Le-Grand"
"CITYSt-Léonard-D'Aston" -101472.271795938 "CITYSt-Léonard-D'Aston"
"CITYSt-Léonard-De-Portneuf" -95882.2261505077 "CITYSt-Léonard-De-Portneuf"
"CITYSt-Liboire" -26654.0304452761 "CITYSt-Liboire"
"CITYSt-Liguori" -45669.5606743704 "CITYSt-Liguori"
"CITYSt-Lin-Laurentides" -25843.9313265577 "CITYSt-Lin-Laurentides"
"CITYSt-Louis" -79181.747697096 "CITYSt-Louis"
"CITYSt-Louis-de-Blandford" -82228.7814675398 "CITYSt-Louis-de-Blandford"
"CITYSt-Louis-De-Gonzague" -48580.737751361 "CITYSt-Louis-De-Gonzague"
"CITYSt-Louis-Du-Ha-Ha" -187134.858720146 "CITYSt-Louis-Du-Ha-Ha"
"CITYSt-Luc-De-Bellechasse" -188401.85200544 "CITYSt-Luc-De-Bellechasse"
"CITYSt-Luc-De-Vincennes" -104064.709557641 "CITYSt-Luc-De-Vincennes"
"CITYSt-Lucien" -69427.0939878302 "CITYSt-Lucien"
"CITYSt-Ludger" -168592.792292804 "CITYSt-Ludger"
"CITYSt-Ludger-De-Milot" -124703.603145453 "CITYSt-Ludger-De-Milot"
"CITYSt-Magloire-De-Bellechasse" -143938.128409619 "CITYSt-Magloire-De-Bellechasse"
"CITYSt-Majorique-De-Grantham" -74048.23948336 "CITYSt-Majorique-De-Grantham"
"CITYSt-Malachie" -95486.3702046635 "CITYSt-Malachie"
"CITYSt-Malo" -247361.122957639 "CITYSt-Malo"
"CITYSt-Marc-Des-Carrières" -95603.3547649221 "CITYSt-Marc-Des-Carrières"
"CITYSt-Marc-Du-Lac-Long" -187214.16886043 "CITYSt-Marc-Du-Lac-Long"
"CITYSt-Marc-sur-Richelieu" 43444.4257356027 "CITYSt-Marc-sur-Richelieu"
"CITYSt-Marcel-De-L'Islet" -149047.032496736 "CITYSt-Marcel-De-L'Islet"
"CITYSt-Marcel-De-Richelieu" -69933.1358656901 "CITYSt-Marcel-De-Richelieu"
"CITYSt-Marcellin" -37664.1647299522 "CITYSt-Marcellin"
"CITYSt-Martin" -144613.102502895 "CITYSt-Martin"
"CITYSt-Mathias-sur-Richelieu" 38031.9117460321 "CITYSt-Mathias-sur-Richelieu"
"CITYSt-Mathieu-d'Harricana" 19464.8737989053 "CITYSt-Mathieu-d'Harricana"
"CITYSt-Mathieu-De-Beloeil" 73607.3437410238 "CITYSt-Mathieu-De-Beloeil"
"CITYSt-Mathieu-De-Laprairie" 49208.9629429924 "CITYSt-Mathieu-De-Laprairie"
"CITYSt-Mathieu-De-Rioux" -32673.189820752 "CITYSt-Mathieu-De-Rioux"
"CITYSt-Mathieu-Du-Parc" -58637.6061550128 "CITYSt-Mathieu-Du-Parc"
"CITYSt-Maurice" -84297.7262562312 "CITYSt-Maurice"
"CITYSt-Maxime-Du-Mont-Louis" -114213.827113388 "CITYSt-Maxime-Du-Mont-Louis"
"CITYSt-Michel" 51168.1216151672 "CITYSt-Michel"
"CITYSt-Michel-de-Bellechasse" 24732.8775936425 "CITYSt-Michel-de-Bellechasse"
"CITYSt-Michel-Des-Saints" -4698.79481045089 "CITYSt-Michel-Des-Saints"
"CITYSt-Michel-Du-Squatec" -153356.705199827 "CITYSt-Michel-Du-Squatec"
"CITYSt-Modeste" -26620.5044267763 "CITYSt-Modeste"
"CITYSt-Narcisse" -94717.2756635452 "CITYSt-Narcisse"
"CITYSt-Narcisse-De-Beaurivage" -128923.030157604 "CITYSt-Narcisse-De-Beaurivage"
"CITYSt-Narcisse-De-Rimouski" -97900.2192428188 "CITYSt-Narcisse-De-Rimouski"
"CITYSt-Nazaire" -105163.533580853 "CITYSt-Nazaire"
"CITYSt-Nazaire-D'Acton" -57275.9577752222 "CITYSt-Nazaire-D'Acton"
"CITYSt-Nazaire-de-Dorchester" -157041.165370317 "CITYSt-Nazaire-de-Dorchester"
"CITYSt-Nérée" -99679.1893165143 "CITYSt-Nérée"
"CITYSt-Nicolas" 24453.6857286171 "CITYSt-Nicolas"
"CITYSt-Norbert" -121112.300858259 "CITYSt-Norbert"
"CITYSt-Norbert-D'Arthabaska" -68519.9901698646 "CITYSt-Norbert-D'Arthabaska"
"CITYSt-Octave-De-Metis" -23419.2182416375 "CITYSt-Octave-De-Metis"
"CITYSt-Odilon" -129772.874309421 "CITYSt-Odilon"
"CITYSt-Omer-L'Islet" -89723.5068750757 "CITYSt-Omer-L'Islet"
"CITYSt-Onesime" -80066.9453417694 "CITYSt-Onesime"
"CITYSt-Ours" 27459.7688065969 "CITYSt-Ours"
"CITYSt-Pacôme" -73509.6586960045 "CITYSt-Pacôme"
"CITYSt-Pamphile" -144860.470745887 "CITYSt-Pamphile"
"CITYSt-Pascal-De-Kamouraska" -116357.363663766 "CITYSt-Pascal-De-Kamouraska"
"CITYSt-Patrice-De-Beaurivage" -114388.243230212 "CITYSt-Patrice-De-Beaurivage"
"CITYSt-Patrice-De-Sherrington" -31216.3870287329 "CITYSt-Patrice-De-Sherrington"
"CITYSt-Paul" -37175.9776115565 "CITYSt-Paul"
"CITYSt-Paul-D'Abbotsford" 23388.6205759303 "CITYSt-Paul-D'Abbotsford"
"CITYSt-Paul-De-L'Ile-Aux-Noix" -22548.1962725498 "CITYSt-Paul-De-L'Ile-Aux-Noix"
"CITYSt-Paul-De-La-Croix" -195133.42097262 "CITYSt-Paul-De-La-Croix"
"CITYSt-Paul-De-Montminy" -140488.86559237 "CITYSt-Paul-De-Montminy"
"CITYSt-Paulin" -195868.450079562 "CITYSt-Paulin"
"CITYSt-Philémon" -80286.927119688 "CITYSt-Philémon"
"CITYSt-Philibert" -129392.671591998 "CITYSt-Philibert"
"CITYSt-Philippe" 77585.6472867263 "CITYSt-Philippe"
"CITYSt-Philippe-De-Neri" -22884.7634890004 "CITYSt-Philippe-De-Neri"
"CITYSt-Pie" -14720.3111086361 "CITYSt-Pie"
"CITYSt-Pie-De-Guire" -24268.4885288823 "CITYSt-Pie-De-Guire"
"CITYSt-Pierre" -100277.400325943 "CITYSt-Pierre"
"CITYSt-Pierre-Baptiste" -84755.2165165144 "CITYSt-Pierre-Baptiste"
"CITYSt-Pierre-De-Broughton" -111208.581899816 "CITYSt-Pierre-De-Broughton"
"CITYSt-Pierre-De-La-Riviere-Du-Sud" -84015.1570782921 "CITYSt-Pierre-De-La-Riviere-Du-Sud"
"CITYSt-Pierre-Les-Becquets" -109575.174974099 "CITYSt-Pierre-Les-Becquets"
"CITYSt-Placide" 43408.5804241706 "CITYSt-Placide"
"CITYSt-Polycarpe" -29683.3542346914 "CITYSt-Polycarpe"
"CITYSt-Prime" -108732.874952966 "CITYSt-Prime"
"CITYSt-Prosper" -150671.137259774 "CITYSt-Prosper"
"CITYSt-Prosper-De-Dorchester" -116519.692456626 "CITYSt-Prosper-De-Dorchester"
"CITYSt-Raphael" -100337.42892103 "CITYSt-Raphael"
"CITYSt-Raphael-de-Bellechasse" -77868.5078343345 "CITYSt-Raphael-de-Bellechasse"
"CITYSt-Raymond" -45928.153156831 "CITYSt-Raymond"
"CITYSt-Rédempteur" 15686.7880763523 "CITYSt-Rédempteur"
"CITYSt-Rémi" 3619.73287427009 "CITYSt-Rémi"
"CITYSt-Remi-D'Amherst" -27040.3397869357 "CITYSt-Remi-D'Amherst"
"CITYSt-Remi-De-Tingwick" -77071.8404370431 "CITYSt-Remi-De-Tingwick"
"CITYSt-Rene" -112152.783766648 "CITYSt-Rene"
"CITYSt-Rene-De-Matane" -101246.30130212 "CITYSt-Rene-De-Matane"
"CITYSt-Robert" -50700.0244457669 "CITYSt-Robert"
"CITYSt-Roch-De-L'Achigan" -1664.64748955867 "CITYSt-Roch-De-L'Achigan"
"CITYSt-Roch-De-Mekinac" 38724.1331498009 "CITYSt-Roch-De-Mekinac"
"CITYSt-Roch-De-Richelieu" -22351.7558998801 "CITYSt-Roch-De-Richelieu"
"CITYSt-Roch-Des-Aulnaies" -47379.314880344 "CITYSt-Roch-Des-Aulnaies"
"CITYSt-Romain" -40027.5540419442 "CITYSt-Romain"
"CITYSt-Romuald" 33450.211634474 "CITYSt-Romuald"
"CITYSt-Rosaire" -94492.8507099474 "CITYSt-Rosaire"
"CITYSt-Samuel" -80319.6615090012 "CITYSt-Samuel"
"CITYSt-Sauveur" 54372.1602600342 "CITYSt-Sauveur"
"CITYSt-Sebastien" -2486.09608954471 "CITYSt-Sebastien"
"CITYSt-Sebastien-De-Frontenac" -142143.489518798 "CITYSt-Sebastien-De-Frontenac"
"CITYSt-Siméon" -108167.168806264 "CITYSt-Siméon"
"CITYSt-Siméon-De-Bonaventure" -72302.371985775 "CITYSt-Siméon-De-Bonaventure"
"CITYSt-Simon-De-Bagot" -27908.3245039938 "CITYSt-Simon-De-Bagot"
"CITYSt-Simon-De-Rimouski" -6995.62304801715 "CITYSt-Simon-De-Rimouski"
"CITYSt-Simon-Les-Mines" -194638.169660916 "CITYSt-Simon-Les-Mines"
"CITYSt-Sixte" -86630.331322817 "CITYSt-Sixte"
"CITYSt-Stanislas-De-Champlain" -116478.672736867 "CITYSt-Stanislas-De-Champlain"
"CITYSt-Stanislas-De-Kostka" -7065.09920147425 "CITYSt-Stanislas-De-Kostka"
"CITYSt-Sulpice" 10867.7727105826 "CITYSt-Sulpice"
"CITYSt-Sylvere" -119358.892720504 "CITYSt-Sylvere"
"CITYSt-Sylvestre" -87628.8156709767 "CITYSt-Sylvestre"
"CITYSt-Telesphore" 21118.5891559628 "CITYSt-Telesphore"
"CITYSt-Théodore d'Acton" -51297.1959333097 "CITYSt-Théodore d'Acton"
"CITYSt-Thomas" -19468.7083571003 "CITYSt-Thomas"
"CITYSt-Thomas-Didyme" -193812.301101808 "CITYSt-Thomas-Didyme"
"CITYSt-Timothée" 39252.4047879657 "CITYSt-Timothée"
"CITYSt-Tite" -111720.587308959 "CITYSt-Tite"
"CITYSt-Tite-Des-Caps" -76604.0352408502 "CITYSt-Tite-Des-Caps"
"CITYSt-Ubalde" -52924.1134200468 "CITYSt-Ubalde"
"CITYSt-Ulric" -134284.531871895 "CITYSt-Ulric"
"CITYSt-Urbain" -61132.429371266 "CITYSt-Urbain"
"CITYSt-Urbain-Premier" 56.372081952113 "CITYSt-Urbain-Premier"
"CITYSt-Valere" -92185.5929904293 "CITYSt-Valere"
"CITYSt-Valérien" -100564.36690368 "CITYSt-Valérien"
"CITYSt-Valérien-De-Milton" -74939.0479025239 "CITYSt-Valérien-De-Milton"
"CITYSt-Vallier" -8523.43859951267 "CITYSt-Vallier"
"CITYSt-Venant-De-Paquette" -202171.647006072 "CITYSt-Venant-De-Paquette"
"CITYSt-Victor" -96114.7412878095 "CITYSt-Victor"
"CITYSt-Vincent-de-Paul" 120233.025881492 "CITYSt-Vincent-de-Paul"
"CITYSt-Wenceslas" -126144.995991401 "CITYSt-Wenceslas"
"CITYSt-Zacharie" -195186.246830646 "CITYSt-Zacharie"
"CITYSt-Zénon" -80938.3075212137 "CITYSt-Zénon"
"CITYSt-Zenon-Du-Lac-Humqui" -93980.3519526985 "CITYSt-Zenon-Du-Lac-Humqui"
"CITYSt-Zephirin-De-Courval" -102255.957314187 "CITYSt-Zephirin-De-Courval"
"CITYSt-Zotique" 4178.03731552731 "CITYSt-Zotique"
"CITYStanbridge East" 19297.4052615191 "CITYStanbridge East"
"CITYStanbridge Station" -28982.2438403121 "CITYStanbridge Station"
"CITYStanstead" -91230.95369376 "CITYStanstead"
"CITYStanstead-Est" 13938.3564889937 "CITYStanstead-Est"
"CITYSte-Adèle" 3630.92845056674 "CITYSte-Adèle"
"CITYSte-Agathe-de-Lotbinière" -72329.5716508076 "CITYSte-Agathe-de-Lotbinière"
"CITYSte-Agathe-Des-Monts" -29932.2556302401 "CITYSte-Agathe-Des-Monts"
"CITYSte-Agathe-Nord" 49614.3048107471 "CITYSte-Agathe-Nord"
"CITYSte-Agnes-De-Dundee" -155229.816310206 "CITYSte-Agnes-De-Dundee"
"CITYSte-Angèle-De-Merici" -151560.635077511 "CITYSte-Angèle-De-Merici"
"CITYSte-Angèle-De-Monnoir" -17601.6191359085 "CITYSte-Angèle-De-Monnoir"
"CITYSte-Angèle-De-Prémont" -81056.5310999982 "CITYSte-Angèle-De-Prémont"
"CITYSte-Anne-de-Beaupré" -35164.9179649495 "CITYSte-Anne-de-Beaupré"
"CITYSte-Anne-De-Bellevue" 142152.949166344 "CITYSte-Anne-De-Bellevue"
"CITYSte-Anne-De-La-Perade" -87523.808780638 "CITYSte-Anne-De-La-Perade"
"CITYSte-Anne-De-La-Pocatiere" -100626.957001846 "CITYSte-Anne-De-La-Pocatiere"
"CITYSte-Anne-De-La-Rochelle" -83364.5725808917 "CITYSte-Anne-De-La-Rochelle"
"CITYSte-Anne-De-Sabrevois" -6295.13806976431 "CITYSte-Anne-De-Sabrevois"
"CITYSte-Anne-De-Sorel" -31990.9647524549 "CITYSte-Anne-De-Sorel"
"CITYSte-Anne-Des-Lacs" 32948.1656196448 "CITYSte-Anne-Des-Lacs"
"CITYSte-Anne-Des-Monts" -113686.325153018 "CITYSte-Anne-Des-Monts"
"CITYSte-Anne-Des-Plaines" -10390.2593964962 "CITYSte-Anne-Des-Plaines"
"CITYSte-Anne-Du-Lac" -142206.919057281 "CITYSte-Anne-Du-Lac"
"CITYSte-Anne-Du-Sault" -123236.90913014 "CITYSte-Anne-Du-Sault"
"CITYSte-Apolline-De-Patton" -148504.764206268 "CITYSte-Apolline-De-Patton"
"CITYSte-Aurélie" -116240.387398442 "CITYSte-Aurélie"
"CITYSte-Barbe" 212380.204342913 "CITYSte-Barbe"
"CITYSte-Beatrix" -73998.0222306642 "CITYSte-Beatrix"
"CITYSte-Brigide-D'Iberville" -22188.4477233664 "CITYSte-Brigide-D'Iberville"
"CITYSte-Brigitte-De-Laval" -51886.5273322193 "CITYSte-Brigitte-De-Laval"
"CITYSte-Brigitte-Des-Saults" -88775.6321854275 "CITYSte-Brigitte-Des-Saults"
"CITYSte-Catherine" 46782.1124924825 "CITYSte-Catherine"
"CITYSte-Catherine-De-Hatley" 57992.1809396182 "CITYSte-Catherine-De-Hatley"
"CITYSte-Catherine-de-la-JC" -16338.3830192613 "CITYSte-Catherine-de-la-JC"
"CITYSte-Cecile-De-Levrard" -106349.906664968 "CITYSte-Cecile-De-Levrard"
"CITYSte-Cécile-De-Milton" -30720.1839411928 "CITYSte-Cécile-De-Milton"
"CITYSte-Cecile-De-Whitton" -68155.593241662 "CITYSte-Cecile-De-Whitton"
"CITYSte-Christine" -85203.3350701489 "CITYSte-Christine"
"CITYSte-Christine-D'Auvergne" -30958.6582142692 "CITYSte-Christine-D'Auvergne"
"CITYSte-Claire" -103795.0994026 "CITYSte-Claire"
