"HOUSING_MODEL$coefficients" "NAME"
"CITYFrampton" -97515.9881168236 "CITYFrampton"
"CITYFranquelin" -134792.704976286 "CITYFranquelin"
"CITYFrelighsburg" -12035.76062363 "CITYFrelighsburg"
"CITYFrontenac" -76834.8314969014 "CITYFrontenac"
"CITYGallichan" -81279.5750459865 "CITYGallichan"
"CITYGallix" -93051.7347327045 "CITYGallix"
"CITYGaspé" -61003.4626517727 "CITYGaspé"
"CITYGatineau" 23919.6486395987 "CITYGatineau"
"CITYGatineau (Aylmer)" 60538.5630733611 "CITYGatineau (Aylmer)"
"CITYGatineau (Buckingham)" -18140.3202566324 "CITYGatineau (Buckingham)"
"CITYGatineau (Gatineau)" 28642.462191486 "CITYGatineau (Gatineau)"
"CITYGatineau (Hull)" 64658.2156563599 "CITYGatineau (Hull)"
"CITYGatineau (Masson-Angers)" -6850.83469355988 "CITYGatineau (Masson-Angers)"
"CITYGirardville" -276213.812758627 "CITYGirardville"
"CITYGodmanchester" -8883.06493393194 "CITYGodmanchester"
"CITYGore" -24094.7393433036 "CITYGore"
"CITYGracefield" -16054.5538621799 "CITYGracefield"
"CITYGranby" -5866.67977053243 "CITYGranby"
"CITYGrand-Remous" -102341.726130617 "CITYGrand-Remous"
"CITYGrand-St-Esprit" -86066.8389097971 "CITYGrand-St-Esprit"
"CITYGrande-Ile" 34638.066884622 "CITYGrande-Ile"
"CITYGrande-Riviere" -109443.29209383 "CITYGrande-Riviere"
"CITYGrande-Vallee" -165723.336694861 "CITYGrande-Vallee"
"CITYGrandes-Piles" -91664.5985177189 "CITYGrandes-Piles"
"CITYGrenville" -30988.6066259359 "CITYGrenville"
"CITYGrenville-sur-la-Rouge" -5117.25746448648 "CITYGrenville-sur-la-Rouge"
"CITYGriffintown" 388628.951330611 "CITYGriffintown"
"CITYHam-Nord" -141259.167472644 "CITYHam-Nord"
"CITYHampden" 21044.5919084006 "CITYHampden"
"CITYHarrington" 80087.4201235677 "CITYHarrington"
"CITYHatley" 45612.9011711875 "CITYHatley"
"CITYHavelock" 2161165.86154689 "CITYHavelock"
"CITYHavre Aubert" 643.944331198273 "CITYHavre Aubert"
"CITYHavre-St-Pierre" -44529.6191613183 "CITYHavre-St-Pierre"
"CITYHébertville" -124536.084419295 "CITYHébertville"
"CITYHébertville-Station" -123531.602511766 "CITYHébertville-Station"
"CITYHemmingford" -34896.761644152 "CITYHemmingford"
"CITYHenryville" 13838.8466465876 "CITYHenryville"
"CITYHerouxville" -117283.310180863 "CITYHerouxville"
"CITYHervey-Jonction" -96242.3677324835 "CITYHervey-Jonction"
"CITYHinchinbrooke" -161795.217680937 "CITYHinchinbrooke"
"CITYHonfleur" -126177.623830526 "CITYHonfleur"
"CITYHope Town" -168957.918467458 "CITYHope Town"
"CITYHowick" 16572.7559586441 "CITYHowick"
"CITYHuberdeau" -18760.8852369172 "CITYHuberdeau"
"CITYHudson" 173459.86920616 "CITYHudson"
"CITYHuntingdon" -80699.0548530971 "CITYHuntingdon"
"CITYIle d'Orléans (St-Francois)" 46306.4828029053 "CITYIle d'Orléans (St-Francois)"
"CITYIle d'Orléans (St-Jean)" 135182.231329219 "CITYIle d'Orléans (St-Jean)"
"CITYIle d'Orléans (St-Laurent)" 118329.449257819 "CITYIle d'Orléans (St-Laurent)"
"CITYIle d'Orléans (St-Pierre)" -864.097722220185 "CITYIle d'Orléans (St-Pierre)"
"CITYIle d'Orléans (Ste-Famille)" -18118.4350881441 "CITYIle d'Orléans (Ste-Famille)"
"CITYIle d'Orléans (Ste-Pétronille)" 108248.974297639 "CITYIle d'Orléans (Ste-Pétronille)"
"CITYÎles-de-la-Madeleine" -37497.9960321181 "CITYÎles-de-la-Madeleine"
"CITYIles-de-la-Madeleine (Fatima)" 13436.5392619906 "CITYIles-de-la-Madeleine (Fatima)"
"CITYIles-de-la-Madeleine (Grande-Entrée)" -121886.201196417 "CITYIles-de-la-Madeleine (Grande-Entrée)"
"CITYIles-de-la-Madeleine (L'Étang-du-Nord)" -16694.5030648395 "CITYIles-de-la-Madeleine (L'Étang-du-Nord)"
"CITYIles-de-la-Madeleine (L'Ile-du-Havre-Aubert)" -107211.441424035 "CITYIles-de-la-Madeleine (L'Ile-du-Havre-Aubert)"
"CITYInverness" -52937.3964769774 "CITYInverness"
"CITYIrlande" -101620.300125983 "CITYIrlande"
"CITYIssoudun" -134518.842950436 "CITYIssoudun"
"CITYIvry-Sur-Le-Lac" -21469.9736063921 "CITYIvry-Sur-Le-Lac"
"CITYJohnville" -91144.8003141911 "CITYJohnville"
"CITYJoliette" -31114.1865546265 "CITYJoliette"
"CITYJonquière" -20318.6142669247 "CITYJonquière"
"CITYJonquière (Arvida)" -63199.697581845 "CITYJonquière (Arvida)"
"CITYJonquière (Jonquière)" -79710.7766664716 "CITYJonquière (Jonquière)"
"CITYJonquière (Lac-Kénogami)" -17136.9832919203 "CITYJonquière (Lac-Kénogami)"
"CITYJonquière (Shipshaw)" -81499.3562313124 "CITYJonquière (Shipshaw)"
"CITYKamouraska" 8939.92343092232 "CITYKamouraska"
"CITYKazabazua" -78878.8444557338 "CITYKazabazua"
"CITYKiamika" -61424.871066077 "CITYKiamika"
"CITYKingsbury" -41077.4500260147 "CITYKingsbury"
"CITYKingsey Falls" -118478.560921018 "CITYKingsey Falls"
"CITYKinnear's Mills" 154882.205675065 "CITYKinnear's Mills"
"CITYKirkland" 162058.023545652 "CITYKirkland"
"CITYL'Ancienne-Lorette" 35915.3630562888 "CITYL'Ancienne-Lorette"
"CITYL'Ange-Gardien" -15327.8109635709 "CITYL'Ange-Gardien"
"CITYL'Ange-Gardien-Outaouais" 13084.9647313317 "CITYL'Ange-Gardien-Outaouais"
"CITYL'Annonciation" 20933.0971692061 "CITYL'Annonciation"
"CITYL'Anse-À-Valleau" -196513.777690845 "CITYL'Anse-À-Valleau"
"CITYL'Anse-St-Jean" -111441.204265017 "CITYL'Anse-St-Jean"
"CITYL'Ascension" -109160.1440672 "CITYL'Ascension"
"CITYL'Ascension-De-Notre-Seigneur" -128955.547635297 "CITYL'Ascension-De-Notre-Seigneur"
"CITYL'Assomption" 7082.6236836273 "CITYL'Assomption"
"CITYL'Avenir" -78633.9468583673 "CITYL'Avenir"
"CITYL'Épiphanie" -8419.87915925665 "CITYL'Épiphanie"
"CITYL'Ile Des Soeurs" 451272.551392404 "CITYL'Ile Des Soeurs"
"CITYL'île-Bizard / Sainte-Geneviève" 121607.279365969 "CITYL'île-Bizard / Sainte-Geneviève"
"CITYl'Ile-du-Grand-Calumet" 26163.8963963729 "CITYl'Ile-du-Grand-Calumet"
"CITYL'Ile-Perrot" 47198.6296854081 "CITYL'Ile-Perrot"
